Disease	Disease_id	Gene	Gene_id	UniProt	Gene_Full_Name	Protein_Class	N_diseases_g	DSI_g	DPI_g	pLI	Score_gda	EL_gda	EI_gda	N_PMIDs	N_SNPs_gda	First_Ref	Last_Ref
Multiple Sclerosis	C0026769	NCR1	9437	O76036	natural cytotoxicity triggering receptor 1	Receptor	96	0.572	0.654	7.3311e-11	0.02		1.0	2	0	2012	2014
Multiple Sclerosis	C0026769	AIM2	9447	O14862	absent in melanoma 2		167	0.521	0.769	2.1942e-09	0.02		1.0	2	0	2017	2018
Multiple Sclerosis	C0026769	CD38	952	P28907	CD38 molecule	Enzyme	473	0.407	0.885	2.3129e-06	0.02		1.0	2	0	2016	2017
Multiple Sclerosis	C0026769	PTGES	9536	O14684	prostaglandin E synthase		150	0.54	0.769	0.71317	0.02		1.0	2	0	2009	2017
Multiple Sclerosis	C0026769	CDKN2B-AS1	100048912		CDKN2B antisense RNA 1		213	0.491	0.769		0.01		1.0	1	2	2018	2018
Multiple Sclerosis	C0026769	HOTAIR	100124700		HOX transcript antisense RNA		234	0.475	0.769		0.01		1.0	1	0	2018	2018
Multiple Sclerosis	C0026769	MIR665	100126315		microRNA 665		42	0.653	0.577		0.01		1.0	1	0	2019	2019
Multiple Sclerosis	C0026769	MIR922	100126321		microRNA 922		8	0.821	0.231		0.01		1.0	1	0	2012	2012
Multiple Sclerosis	C0026769	HBD	100187828		hypophosphatemic bone disease		17	0.78	0.269		0.01		1.0	1	0	2018	2018
Multiple Sclerosis	C0026769	AFA1	100188784		Alopecia, androgenetic		16	0.743	0.385		0.01		1.0	1	0	1993	1993
Multiple Sclerosis	C0026769	SH2B3	10019	Q9UQQ2	SH2B adaptor protein 3		212	0.527	0.692	0.00010289	0.01		1.0	1	1	2010	2010
Multiple Sclerosis	C0026769	MEF2B	100271849	Q02080	myocyte enhancer factor 2B		42	0.67	0.308	0.00092914	0.01		0.0	1	0	2010	2010
Multiple Sclerosis	C0026769	CHAF1A	10036	Q13111	chromatin assembly factor 1 subunit A	Nucleic acid binding	94	0.581	0.808	1.0	0.01		1.0	1	0	2007	2007
Multiple Sclerosis	C0026769	ERVW-2	100379323		endogenous retrovirus group W member 2		1	1.0	0.077		0.01		1.0	1	0	2013	2013
Multiple Sclerosis	C0026769	HOTAIRM1	100506311		HOXA transcript antisense RNA, myeloid-specific 1		46	0.638	0.538		0.01		1.0	1	0	2019	2019
Multiple Sclerosis	C0026769	IL18BP	10068	O95998	interleukin 18 binding protein		75	0.603	0.731	1.484e-08	0.01		1.0	1	0	2010	2010
Multiple Sclerosis	C0026769	TSPAN32	10077	Q96QS1	tetraspanin 32		10	0.821	0.154	2.1686e-05	0.01		1.0	1	0	2019	2019
Multiple Sclerosis	C0026769	EDIL3	10085	O43854	EGF like repeats and discoidin domains 3	Enzyme	104	0.564	0.769	0.00014584	0.01		1.0	1	0	2015	2015
Multiple Sclerosis	C0026769	LINC-ROR	100885779		long intergenic non-protein coding RNA, regulator of reprogramming		108	0.548	0.769		0.01		1.0	1	0	2016	2016
Multiple Sclerosis	C0026769	BCAP31	10134	P51572	B cell receptor associated protein 31	Transporter	101	0.579	0.808	0.43366	0.01		1.0	1	0	2018	2018
Multiple Sclerosis	C0026769	CDH17	1015	Q12864	cadherin 17		58	0.636	0.615	3.4172e-14	0.01		1.0	1	0	2017	2017
Multiple Sclerosis	C0026769	ATP6AP2	10159	O75787	ATPase H+ transporting accessory protein 2	Receptor	184	0.525	0.769	0.87089	0.01		1.0	1	0	2016	2016
Multiple Sclerosis	C0026769	FLOT1	10211	O75955	flotillin 1		56	0.623	0.692	1.0422e-08	0.01		1.0	1	0	2017	2017
Multiple Sclerosis	C0026769	MAFTRR	102467146		MAF transcriptional regulator RNA		6	1.0	0.077		0.01		1.0	1	0	2017	2017
Multiple Sclerosis	C0026769	THRIL	102659353		TNF and HNRNPL related immunoregulatory long non-coding RNA		16	0.743	0.5		0.01		1.0	1	0	2020	2020
Multiple Sclerosis	C0026769	LOC102723971	102723971		lipocalin 1-like		39	0.663	0.577		0.01		1.0	1	0	2018	2018
Multiple Sclerosis	C0026769	PRSS16	10279	Q9NQE7	serine protease 16	Enzyme	12	0.792	0.346	4.0615e-07	0.01		1.0	1	0	2017	2017
Multiple Sclerosis	C0026769	CDKN1C	1028	P49918	cyclin dependent kinase inhibitor 1C		298	0.456	0.846	0.81963	0.01		1.0	1	0	2013	2013
Multiple Sclerosis	C0026769	LILRB2	10288		leukocyte immunoglobulin like receptor B2		56	0.623	0.615	1.2812e-14	0.01		1.0	1	0	2014	2014
Multiple Sclerosis	C0026769	TCIRG1	10312	Q13488	T cell immune regulator 1, ATPase H+ transporting V0 subunit a3	Transporter	146	0.565	0.692	2.3981e-13	0.01		1.0	1	0	2014	2014
Multiple Sclerosis	C0026769	CDKN2D	1032	P55273	cyclin dependent kinase inhibitor 2D		110	0.547	0.769	0.49473	0.01		1.0	1	0	2007	2007
Multiple Sclerosis	C0026769	IKZF1	10320	Q13422	IKAROS family zinc finger 1	Transcription factor	165	0.533	0.769	0.9986	0.01		1.0	1	0	2013	2013
Multiple Sclerosis	C0026769	CCL26	10344	Q9Y258	C-C motif chemokine ligand 26	Signaling	60	0.617	0.654	0.010114	0.01		1.0	1	0	2019	2019
Multiple Sclerosis	C0026769	ABCA7	10347	Q8IZY2	ATP binding cassette subfamily A member 7	Transporter	70	0.644	0.577	2.1111e-55	0.01		1.0	1	0	2005	2005
Multiple Sclerosis	C0026769	WFDC2	10406	Q14508	WAP four-disulfide core domain 2	Enzyme modulator	29	0.729	0.308	0.79406	0.01		1.0	1	0	2015	2015
Multiple Sclerosis	C0026769	C1D	10438	Q13901	C1D nuclear receptor corepressor	Transcription factor	33	0.67	0.462	0.03411	0.01		1.0	1	0	2013	2013
Multiple Sclerosis	C0026769	CDX2	1045	Q99626	caudal type homeobox 2	Transcription factor	278	0.458	0.769	0.52887	0.01		1.0	1	0	2009	2009
Multiple Sclerosis	C0026769	FST	10468	P19883	follistatin	Enzyme modulator	182	0.513	0.731	0.98014	0.01		1.0	1	0	2000	2000
Multiple Sclerosis	C0026769	CEACAM5	1048	P06731	CEA cell adhesion molecule 5		428	0.42	0.846	4.1625e-10	0.01		1.0	1	0	2001	2001
Multiple Sclerosis	C0026769	NXF1	10482	Q9UBU9	nuclear RNA export factor 1	Nucleic acid binding	141	0.531	0.885	0.9763	0.01		1.0	1	0	1994	1994
Multiple Sclerosis	C0026769	CRTAP	10491	O75718	cartilage associated protein	Extracellular structure	66	0.636	0.654	0.00055361	0.01		1.0	1	0	2009	2009
Multiple Sclerosis	C0026769	KAT5	10524	Q92993	lysine acetyltransferase 5		138	0.534	0.769	0.088234	0.01		1.0	1	0	2009	2009
Multiple Sclerosis	C0026769	CECR	1055		cat eye syndrome chromosome region		81	0.599	0.731		0.01		1.0	1	0	2017	2017
Multiple Sclerosis	C0026769	TXNRD2	10587	Q9NNW7	thioredoxin reductase 2	Enzyme	134	0.548	0.731	3.4688e-11	0.01		0.0	1	0	2017	2017
Multiple Sclerosis	C0026769	AHSA1	10598	O95433	activator of HSP90 ATPase activity 1		526	0.396	0.923	0.99896	0.01		1.0	1	0	2011	2011
Multiple Sclerosis	C0026769	USP16	10600	Q9Y5T5	ubiquitin specific peptidase 16	Enzyme	11	0.805	0.346	1.8493e-09	0.01		1.0	1	0	2019	2019
Multiple Sclerosis	C0026769	GSTT1-AS1	106099130		GSTT1 antisense RNA 1		3	0.931	0.115		0.01		1.0	1	0	2019	2019
Multiple Sclerosis	C0026769	TXNIP	10628	Q9H3M7	thioredoxin interacting protein		208	0.49	0.731	0.15918	0.01		1.0	1	0	2017	2017
Multiple Sclerosis	C0026769	RN7SL263P	106480993		RNA, 7SL, cytoplasmic 263, pseudogene		189	0.496	0.808		0.01		1.0	1	0	1980	1980
Multiple Sclerosis	C0026769	CELF1	10658	Q92879	CUGBP Elav-like family member 1		63	0.631	0.577	0.99971	0.01		1.0	1	0	2015	2015
Multiple Sclerosis	C0026769	CETN1	1068	Q12798	centrin 1	Calcium-binding protein	82	0.584	0.654	0.21511	0.01		1.0	1	0	2018	2018
Multiple Sclerosis	C0026769	YME1L1	10730	Q96TA2	YME1 like 1 ATPase	Enzyme	60	0.633	0.654	0.028988	0.01		1.0	1	0	2019	2019
Multiple Sclerosis	C0026769	MASP2	10747	O00187	mannan binding lectin serine peptidase 2	Enzyme	86	0.582	0.692	3.0428e-14	0.01		1.0	1	0	2007	2007
Multiple Sclerosis	C0026769	CCR9	10803	P51686	C-C motif chemokine receptor 9	G-protein coupled receptor	90	0.573	0.692	0.0041986	0.01		1.0	1	0	2019	2019
Multiple Sclerosis	C0026769	CEACAM3	1084	P40198	CEA cell adhesion molecule 3		204	0.494	0.731	1.067e-09	0.01		1.0	1	0	2001	2001
Multiple Sclerosis	C0026769	HPSE	10855	Q9Y251	heparanase	Enzyme	393	0.425	0.808	2.266e-14	0.01		1.0	1	0	2017	2017
Multiple Sclerosis	C0026769	CYP46A1	10858	Q9Y6A2	cytochrome P450 family 46 subfamily A member 1	Enzyme	39	0.659	0.5	0.98552	0.01		1.0	1	0	2017	2017
Multiple Sclerosis	C0026769	LILRB1	10859	Q8NHL6	leukocyte immunoglobulin like receptor B1	Receptor	168	0.51	0.769	5.6502e-14	0.01		1.0	1	0	2018	2018
Multiple Sclerosis	C0026769	CEACAM7	1087	Q14002	CEA cell adhesion molecule 7		202	0.494	0.769	1.3466e-07	0.01		1.0	1	0	2001	2001
Multiple Sclerosis	C0026769	MMP24	10893	Q9Y5R2	matrix metallopeptidase 24	Enzyme	26	0.743	0.423	0.67752	0.01		1.0	1	0	2009	2009
Multiple Sclerosis	C0026769	RALBP1	10928	Q15311	ralA binding protein 1	Enzyme modulator	134	0.536	0.654	0.14667	0.01		1.0	1	0	2013	2013
Multiple Sclerosis	C0026769	PRDX3	10935	P30048	peroxiredoxin 3	Enzyme	89	0.568	0.769	0.0042426	0.01		1.0	1	0	2014	2014
Multiple Sclerosis	C0026769	RAB40B	10966	Q12829	RAB40B, member RAS oncogene family		99	0.563	0.731	8.6559e-06	0.01		1.0	1	0	2013	2013
Multiple Sclerosis	C0026769	RAB32	10981	Q13637	RAB32, member RAS oncogene family		23	0.711	0.462	0.00065061	0.01		1.0	1	0	2017	2017
Multiple Sclerosis	C0026769	METAP2	10988	P50579	methionyl aminopeptidase 2		78	0.593	0.769	0.0039908	0.01		1.0	1	0	1999	1999
Multiple Sclerosis	C0026769	LILRB4	11006	Q8NHJ6	leukocyte immunoglobulin like receptor B4	Receptor	46	0.659	0.423	4.7133e-13	0.01		1.0	1	0	2014	2014
Multiple Sclerosis	C0026769	LILRA1	11024	O75019	leukocyte immunoglobulin like receptor A1	Receptor	8	0.805	0.308	7.3933e-20	0.01		1.0	1	0	2019	2019
Multiple Sclerosis	C0026769	CHAT	1103	P28329	choline O-acetyltransferase	Enzyme	230	0.52	0.808	5.6328e-11	0.01		1.0	1	0	2013	2013
Multiple Sclerosis	C0026769	ADRM1	11047	Q16186	adhesion regulating molecule 1		51	0.633	0.538	0.99704	0.01		1.0	1	0	1998	1998
Multiple Sclerosis	C0026769	ADAMTS13	11093	Q76LX8	ADAM metallopeptidase with thrombospondin type 1 motif 13	Enzyme	229	0.496	0.769	5.1409e-15	0.01		1.0	1	0	2018	2018
Multiple Sclerosis	C0026769	CHGA	1113	P10645	chromogranin A		218	0.49	0.808	0.030369	0.01		1.0	1	0	2016	2016
Multiple Sclerosis	C0026769	CHGB	1114	P05060	chromogranin B		70	0.599	0.654	2.3622e-07	0.01		1.0	1	0	2015	2015
Multiple Sclerosis	C0026769	CHIT1	1118	Q13231	chitinase 1		142	0.525	0.692	7.1716e-16	0.01		1.0	1	0	2008	2008
Multiple Sclerosis	C0026769	POLG2	11232	Q9UHN1	DNA polymerase gamma 2, accessory subunit	Enzyme	158	0.558	0.769	1.528e-10	0.01		1.0	1	0	2019	2019
Multiple Sclerosis	C0026769	PRRT2	112476	Q7Z6L0	proline rich transmembrane protein 2		353	0.448	0.808	0.57919	0.01		1.0	1	0	2012	2012
Multiple Sclerosis	C0026769	HRH3	11255	Q9Y5N1	histamine receptor H3	G-protein coupled receptor	60	0.647	0.462	0.04081	0.01		1.0	1	0	2017	2017
Multiple Sclerosis	C0026769	NRM	11270	Q8IXM6	nurim		16	0.76	0.231	0.021828	0.01		1.0	1	1	2011	2011
Multiple Sclerosis	C0026769	USP18	11274	Q9UMW8	ubiquitin specific peptidase 18		79	0.601	0.615	0.0014952	0.01		1.0	1	1	2013	2013
Multiple Sclerosis	C0026769	ACOT7	11332	O00154	acyl-CoA thioesterase 7	Enzyme	146	0.531	0.769	0.75926	0.01		1.0	1	0	2017	2017
Multiple Sclerosis	C0026769	C1QTNF3	114899	Q9BXJ4	C1q and TNF related 3		26	0.695	0.577	1.8089e-07	0.01		1.0	1	0	2019	2019
Multiple Sclerosis	C0026769	H3P13	115482685		H3 histone pseudogene 13		78	0.584	0.769		0.01		1.0	1	0	2007	2007
Multiple Sclerosis	C0026769	H3P24	115482697		H3 histone pseudogene 24		32	0.686	0.577		0.01		1.0	1	0	2018	2018
Multiple Sclerosis	C0026769	H3P29	115482721		H3 histone pseudogene 29		12	0.78	0.346		0.01		1.0	1	0	2001	2001
Multiple Sclerosis	C0026769	MOGAT1	116255	Q96PD6	monoacylglycerol O-acyltransferase 1	Enzyme	5	0.861	0.115	1.566e-10	0.01		1.0	1	0	2011	2011
Multiple Sclerosis	C0026769	OLFM3	118427	Q96PB7	olfactomedin 3	Cellular structure	3	0.931	0.115	0.0010163	0.01		1.0	1	0	2014	2014
Multiple Sclerosis	C0026769	ANTXR2	118429	P58335	ANTXR cell adhesion molecule 2	Receptor	143	0.568	0.808	0.086921	0.01		1.0	1	0	2018	2018
Multiple Sclerosis	C0026769	CLU	1191	P10909	clusterin		412	0.426	0.885	7.8072e-05	0.01		1.0	1	0	2016	2016
Multiple Sclerosis	C0026769	CLIC1	1192	O00299	chloride intracellular channel 1	Ion channel	74	0.601	0.5	0.00019265	0.01		1.0	1	0	2019	2019
Multiple Sclerosis	C0026769	TPH2	121278	Q8IWU9	tryptophan hydroxylase 2		137	0.546	0.654	2.5364e-07	0.01		1.0	1	1	2012	2012
Multiple Sclerosis	C0026769	CCR8	1237	P51685	C-C motif chemokine receptor 8	G-protein coupled receptor	67	0.597	0.692	0.0077492	0.01		1.0	1	0	2000	2000
Multiple Sclerosis	C0026769	CMKLR1	1240	Q99788	chemerin chemokine-like receptor 1	G-protein coupled receptor	75	0.612	0.692	0.010767	0.01		1.0	1	0	2019	2019
Multiple Sclerosis	C0026769	NLRP5	126206	P59047	NLR family pyrin domain containing 5		13	0.78	0.231	1.1427e-13	0.01		1.0	1	2	2017	2017
Multiple Sclerosis	C0026769	HSPB6	126393	O14558	heat shock protein family B (small) member 6		34	0.705	0.385	0.088703	0.01		1.0	1	0	2018	2018
Multiple Sclerosis	C0026769	CNN3	1266	Q15417	calponin 3	Cellular structure	33	0.705	0.462	0.59852	0.01		1.0	1	0	2018	2018
Multiple Sclerosis	C0026769	CNTN1	1272	Q12860	contactin 1		81	0.599	0.577	0.15131	0.01		1.0	1	0	2019	2019
Multiple Sclerosis	C0026769	TPRG1L	127262	Q5T0D9	tumor protein p63 regulated 1 like		5	0.839	0.231	8.4721e-07	0.01		1.0	1	0	2019	2019
Multiple Sclerosis	C0026769	COL2A1	1280	P02458	collagen type II alpha 1 chain		496	0.444	0.846	1.0	0.01		1.0	1	0	1997	1997
Multiple Sclerosis	C0026769	DUSP15	128853	Q9H1R2	dual specificity phosphatase 15		2	0.931	0.115	3.7139e-06	0.01		1.0	1	0	2012	2012
Multiple Sclerosis	C0026769	COL11A2	1302	P13942	collagen type XI alpha 2 chain		399	0.435	0.846	0.70197	0.01		1.0	1	0	1997	1997
Multiple Sclerosis	C0026769	COL17A1	1308	Q9UMD9	collagen type XVII alpha 1 chain		138	0.545	0.769	2.2869e-27	0.01		1.0	1	0	2019	2019
Multiple Sclerosis	C0026769	ADM	133	P35318	adrenomedullin	Signaling	405	0.436	0.808	0.040831	0.01		1.0	1	0	2019	2019
Multiple Sclerosis	C0026769	COX8A	1351	P10176	cytochrome c oxidase subunit 8A	Enzyme	526	0.4	0.846	0.11606	0.01		1.0	1	0	2008	2008
Multiple Sclerosis	C0026769	NCOA7	135112	Q8NI08	nuclear receptor coactivator 7		21	0.729	0.5	3.2987e-05	0.01		1.0	1	0	2015	2015
Multiple Sclerosis	C0026769	CPB1	1360	P15086	carboxypeptidase B1	Enzyme	57	0.626	0.654	2.6104e-22	0.01		1.0	1	0	2000	2000
Multiple Sclerosis	C0026769	CLDN3	1365	O15551	claudin 3	Cell-cell junction	108	0.558	0.615	0.52233	0.01		1.0	1	0	2014	2014
Multiple Sclerosis	C0026769	CPOX	1371	P36551	coproporphyrinogen oxidase	Enzyme	246	0.488	0.846	0.17152	0.01		1.0	1	0	2008	2008
Multiple Sclerosis	C0026769	CPT1A	1374	P50416	carnitine palmitoyltransferase 1A	Enzyme	143	0.555	0.808	5.114e-09	0.01		1.0	1	2	2019	2019
Multiple Sclerosis	C0026769	CRHR1	1394	P34998	corticotropin releasing hormone receptor 1		183	0.517	0.769	3.7856e-05	0.01		1.0	1	0	2010	2010
Multiple Sclerosis	C0026769	CRK	1398	P46108	CRK proto-oncogene, adaptor protein		544	0.394	0.923	0.95936	0.01		1.0	1	0	2011	2011
Multiple Sclerosis	C0026769	DOCK11	139818	Q5JSL3	dedicator of cytokinesis 11	Enzyme modulator	57	0.606	0.731	0.012097	0.01		0.0	1	0	2019	2019
Multiple Sclerosis	C0026769	ADAMTS14	140766	Q8WXS8	ADAM metallopeptidase with thrombospondin type 1 motif 14	Enzyme	12	0.792	0.423	4.7565e-14	0.01		1.0	1	0	2005	2005
Multiple Sclerosis	C0026769	CRYGC	1420	P07315	crystallin gamma C		60	0.612	0.577	0.0006061	0.01		1.0	1	0	2008	2008
Multiple Sclerosis	C0026769	CRYGD	1421	P07320	crystallin gamma D		168	0.51	0.808	0.00030317	0.01		1.0	1	0	2017	2017
Multiple Sclerosis	C0026769	CRYZ	1429	Q08257	crystallin zeta		145	0.524	0.731	5.6616e-23	0.01		1.0	1	0	2011	2011
Multiple Sclerosis	C0026769	CSN2	1447	P05814	casein beta	Storage	49	0.641	0.538	7.1828e-06	0.01		1.0	1	0	2002	2002
Multiple Sclerosis	C0026769	CSN3	1448	P07498	casein kappa		23	0.736	0.346	0.011763	0.01		1.0	1	0	2007	2007
Multiple Sclerosis	C0026769	PTGR2	145482	Q8N8N7	prostaglandin reductase 2	Enzyme	9	0.792	0.346	2.7131e-07	0.01		1.0	1	0	2017	2017
Multiple Sclerosis	C0026769	NCAN	1463	O14594	neurocan	Extracellular structure	44	0.67	0.5	0.068	0.01		1.0	1	1	2020	2020
Multiple Sclerosis	C0026769	CD300LF	146722	Q8TDQ1	CD300 molecule like family member f		34	0.716	0.385	1.0563e-08	0.01		1.0	1	1	2017	2017
Multiple Sclerosis	C0026769	APCDD1	147495	Q8J025	APC down-regulated 1		54	0.644	0.538	0.0073159	0.01		1.0	1	0	2015	2015
Multiple Sclerosis	C0026769	CSTF2	1478	P33240	cleavage stimulation factor subunit 2	Nucleic acid binding	14	0.792	0.231	0.99959	0.01		1.0	1	0	2019	2019
Multiple Sclerosis	C0026769	PDIK1L	149420	Q8N165	PDLIM1 interacting kinase 1 like	Kinase	138	0.534	0.769	0.26436	0.01		1.0	1	0	2018	2018
Multiple Sclerosis	C0026769	CTSE	1510	P14091	cathepsin E	Enzyme	56	0.631	0.615	1.4371e-14	0.01		1.0	1	0	2019	2019
Multiple Sclerosis	C0026769	PLB1	151056	Q6P1J6	phospholipase B1		219	0.488	0.846	1.7315e-72	0.01		1.0	1	0	2009	2009
Multiple Sclerosis	C0026769	GPBAR1	151306	Q8TDU6	G protein-coupled bile acid receptor 1	G-protein coupled receptor	122	0.548	0.731	1.3633e-09	0.01		1.0	1	0	2014	2014
Multiple Sclerosis	C0026769	RMDN2	151393	Q96LZ7	regulator of microtubule dynamics 2		137	0.531	0.769	4.4061e-24	0.01		1.0	1	0	2019	2019
Multiple Sclerosis	C0026769	BTLA	151888	Q7Z6A9	B and T lymphocyte associated		74	0.593	0.577	0.020987	0.01		1.0	1	0	2016	2016
Multiple Sclerosis	C0026769	CTSZ	1522	Q9UBR2	cathepsin Z	Enzyme	51	0.647	0.577	2.2587e-16	0.01		1.0	1	0	2017	2017
Multiple Sclerosis	C0026769	CYP1B1	1545	Q16678	cytochrome P450 family 1 subfamily B member 1	Enzyme	304	0.457	0.769	2.2024e-05	0.01		1.0	1	0	2019	2019
Multiple Sclerosis	C0026769	CYP2B6	1555	P20813	cytochrome P450 family 2 subfamily B member 6		388	0.428	0.846	1.9303e-10	0.01		1.0	1	1	2017	2017
Multiple Sclerosis	C0026769	CYP2C19	1557	P33261	cytochrome P450 family 2 subfamily C member 19		274	0.467	0.846	6.4882e-20	0.01		1.0	1	0	2003	2003
Multiple Sclerosis	C0026769	CYP2C9	1559	P11712	cytochrome P450 family 2 subfamily C member 9		201	0.506	0.885	1.2709e-10	0.01		1.0	1	0	2017	2017
Multiple Sclerosis	C0026769	CYP3A4	1576	P08684	cytochrome P450 family 3 subfamily A member 4	Enzyme	291	0.462	0.885	5.7979e-11	0.01		1.0	1	1	2011	2011
Multiple Sclerosis	C0026769	CYP7A1	1581	P22680	cytochrome P450 family 7 subfamily A member 1	Enzyme	91	0.576	0.615	0.00024507	0.01		1.0	1	0	2013	2013
Multiple Sclerosis	C0026769	CYP17A1	1586	P05093	cytochrome P450 family 17 subfamily A member 1		326	0.462	0.769	0.00026255	0.01		1.0	1	0	2017	2017
Multiple Sclerosis	C0026769	CLEC12A	160364	Q5QGZ9	C-type lectin domain family 12 member A		34	0.686	0.346	2.6022e-07	0.01		1.0	1	0	2017	2017
Multiple Sclerosis	C0026769	DAXX	1616	Q9UER7	death domain associated protein		137	0.544	0.692	0.098633	0.01		1.0	1	0	2005	2005
Multiple Sclerosis	C0026769	FSIP1	161835	Q8NA03	fibrous sheath interacting protein 1		47	0.663	0.615	7.6972e-14	0.01		1.0	1	0	2018	2018
Multiple Sclerosis	C0026769	ANKFN1	162282	Q8N957	ankyrin repeat and fibronectin type III domain containing 1		7	0.89	0.154	2.0906e-10	0.01		0.0	1	1	2012	2012
Multiple Sclerosis	C0026769	DCN	1634	P07585	decorin		297	0.457	0.808	0.31231	0.01		1.0	1	0	2010	2010
Multiple Sclerosis	C0026769	IFNLR1	163702	Q8IU57	interferon lambda receptor 1	Receptor	40	0.647	0.615	0.062532	0.01		1.0	1	0	2012	2012
Multiple Sclerosis	C0026769	DCTN1	1639	Q14203	dynactin subunit 1	Chaperone	116	0.597	0.5	0.084251	0.01		1.0	1	0	2007	2007
Multiple Sclerosis	C0026769	TMPRSS6	164656	Q8IU80	transmembrane serine protease 6	Enzyme	113	0.584	0.654	4.1369e-10	0.01		1.0	1	1	2016	2016
Multiple Sclerosis	C0026769	DECR1	1666	Q16698	2,4-dienoyl-CoA reductase 1	Enzyme	399	0.426	0.885	4.4689e-14	0.01		1.0	1	0	1997	1997
Multiple Sclerosis	C0026769	ZNF596	169270	Q8TC21	zinc finger protein 596	Transcription factor	3	0.89	0.115	1.8321e-13	0.01		1.0	1	0	2019	2019
Multiple Sclerosis	C0026769	DHCR7	1717	Q9UBM7	7-dehydrocholesterol reductase	Enzyme	266	0.5	0.846	3.949e-13	0.01		1.0	1	0	2012	2012
Multiple Sclerosis	C0026769	DHODH	1723	Q02127	dihydroorotate dehydrogenase (quinone)	Enzyme	100	0.576	0.769	0.0029884	0.01		1.0	1	0	2017	2017
Multiple Sclerosis	C0026769	AFP	174	P02771	alpha fetoprotein	Transporter	392	0.429	0.885	1.1383e-11	0.01		1.0	1	0	2019	2019
Multiple Sclerosis	C0026769	AGA	175	P20933	aspartylglucosaminidase	Enzyme	143	0.57	0.808	4.2802e-06	0.01		1.0	1	0	2017	2017
Multiple Sclerosis	C0026769	DNASE1	1773	P24855	deoxyribonuclease 1		180	0.505	0.846	6.9801e-21	0.01		1.0	1	0	2014	2014
Multiple Sclerosis	C0026769	DNTT	1791	P04053	DNA nucleotidylexotransferase	Enzyme	70	0.606	0.692	2.9548e-10	0.01		1.0	1	0	2011	2011
Multiple Sclerosis	C0026769	DPP6	1804	P42658	dipeptidyl peptidase like 6	Enzyme	71	0.603	0.692	0.33997	0.01		1.0	1	0	2012	2012
Multiple Sclerosis	C0026769	DPYSL2	1808	Q16555	dihydropyrimidinase like 2	Enzyme	93	0.585	0.692	0.99375	0.01		1.0	1	0	2012	2012
Multiple Sclerosis	C0026769	DRD2	1813	P14416	dopamine receptor D2	G-protein coupled receptor	437	0.436	0.846	0.74709	0.01		1.0	1	0	1998	1998
Multiple Sclerosis	C0026769	DSG2	1829	Q14126	desmoglein 2	Cell adhesion	83	0.601	0.692	2.7913e-10	0.01		1.0	1	0	2019	2019
Multiple Sclerosis	C0026769	DSPP	1834	Q9NZW4	dentin sialophosphoprotein		114	0.556	0.769	1.1191e-07	0.01		1.0	1	0	2014	2014
Multiple Sclerosis	C0026769	TOR1A	1861	O14656	torsin family 1 member A	Chaperone	115	0.566	0.731	0.00050557	0.01		1.0	1	0	2011	2011
Multiple Sclerosis	C0026769	EBF1	1879	Q9UH73	EBF transcription factor 1		87	0.584	0.654	0.99697	0.01		1.0	1	0	2005	2005
Multiple Sclerosis	C0026769	S1PR3	1903	Q99500	sphingosine-1-phosphate receptor 3	G-protein coupled receptor	47	0.638	0.654	0.046945	0.01		1.0	1	0	2017	2017
Multiple Sclerosis	C0026769	EDNRB	1910	P24530	endothelin receptor type B	G-protein coupled receptor	300	0.47	0.846	0.0092419	0.01		1.0	1	0	2014	2014
Multiple Sclerosis	C0026769	EGF	1950	P01133	epidermal growth factor		774	0.357	0.923	8.5294e-17	0.01		1.0	1	0	2019	2019
Multiple Sclerosis	C0026769	EGR1	1958	P18146	early growth response 1	Nucleic acid binding	378	0.433	0.923	0.3509	0.01		1.0	1	0	2013	2013
Multiple Sclerosis	C0026769	EIF4EBP2	1979	Q13542	eukaryotic translation initiation factor 4E binding protein 2	Nucleic acid binding	25	0.716	0.423	0.30552	0.01		1.0	1	0	2017	2017
Multiple Sclerosis	C0026769	AIF1	199	P55008	allograft inflammatory factor 1	Calcium-binding protein	166	0.521	0.808	1.8793e-06	0.01		1.0	1	0	2016	2016
Multiple Sclerosis	C0026769	ELAVL2	1993	Q12926	ELAV like RNA binding protein 2		199	0.486	0.808	0.99514	0.01		1.0	1	0	2018	2018
Multiple Sclerosis	C0026769	CRTC2	200186	Q53ET0	CREB regulated transcription coactivator 2	Transcription factor	56	0.633	0.538	0.99891	0.01		1.0	1	0	2015	2015
Multiple Sclerosis	C0026769	CRYGEP	200575		crystallin gamma E, pseudogene		34	0.666	0.538		0.01		1.0	1	0	2008	2008
Multiple Sclerosis	C0026769	UNC13D	201294	Q70J99	unc-13 homolog D		48	0.659	0.5	1.091e-18	0.01		1.0	1	0	2013	2013
Multiple Sclerosis	C0026769	TIGIT	201633	Q495A1	T cell immunoreceptor with Ig and ITIM domains		56	0.623	0.538	0.017915	0.01		1.0	1	0	2019	2019
Multiple Sclerosis	C0026769	ENO1	2023	P06733	enolase 1	Enzyme	231	0.481	0.885	1.914e-05	0.01		1.0	1	0	2007	2007
Multiple Sclerosis	C0026769	EPAS1	2034	Q99814	endothelial PAS domain protein 1	Transcription factor	293	0.454	0.731	0.5961	0.01		1.0	1	0	2019	2019
Multiple Sclerosis	C0026769	EPHB2	2048	P29323	EPH receptor B2	Kinase	649	0.374	0.846	0.99997	0.01		1.0	1	0	2018	2018
